students file: ../12000_students/t_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1640110025_1640109957 139
1640109957_1640104233 139
1640104233_1640104237 135
1640109950_1640109952 127
1649972041_1640109950 107
6808322566_6808322562 97
1658513408_1650035996 91
835352929_835352905 91
1649972002_6808322562 91
1640118252_1658501579 89
7231742797_5667358719 87
7231742789_7231742797 85
1640110048_1640104237 84
1640118264_1640118258 83
1640109958_1640118197 83
1640109948_1640109994 82
1650036165_1649972262 81
1640109971_1640109952 81
1640110013_1640109948 80
1649972349_1649972459 79
1649972016_1533476090 79
1649972459_1533467002 79
1650036064_1650036363 78
6766624209_1568670974 77
6808322566_1649972002 75
1640109952_1640118156 75
1658519806_1649972223 75
552449847_1649972124 74
1640118186_835353009 74
1640118266_1640118200 73
1640104237_1649972349 73
1658513391_7229906418 71
1533476118_1649972016 71
1640118127_1640110039 70
1640109991_1640110023 70
1640110022_1640118234 69
1640118173_1640110009 69
1640118156_1640118197 69
1640104235_1640104237 69
1649972301_835352961 69
1649972061_5667387940 69
835353009_7231742788 69
1640104234_1640104235 67
1658501588_3203441285 66
1640109987_1649972133 65
1649972318_1649972234 65
1640110009_1640110013 65
6789545859_1640110041 65
1640110041_1640109938 65
1649972260_6808154773 65
--------LATE PERCENTAGE--------
percent late: 0.00016937669376693767
number late: 3
total classes: 17712
--------TIME--------
10:27:43.953450
